"Card Number","Domain","Category","Difficulty","Front","Back"
"27","1 - Fundamentals of AI and ML","Scenario","Exam-Ready","A company wants to flag unusual transactions in payment data without having any past fraud examples labeled. What technique applies?","Anomaly detection, typically built on unsupervised learning, applies here because there is no labeled fraud data. The model learns what normal transactions look like and flags significant deviations."
"28","1 - Fundamentals of AI and ML","Scenario","Exam-Ready","A retailer wants product recommendations for individual shoppers, while a logistics team wants to forecast next quarter's inventory demand. Which AWS service fits each need?","Amazon Personalize fits the recommendation use case because it builds personalized suggestions from user behavior. Amazon Forecast fits the inventory use case because it specializes in time-series demand forecasting."
"29","1 - Fundamentals of AI and ML","Scenario","Intermediate","An application needs to automatically detect whether uploaded photos contain inappropriate content before they are published. What category of AI use case is this?","This is a computer vision use case, since it involves analyzing the visual content of images. Amazon Rekognition is the AWS service built for this type of moderation task."
"30","1 - Fundamentals of AI and ML","Scenario","Exam-Ready","A data science team needs to label thousands of raw images before training a custom model but has no labeling workforce of its own. Which SageMaker feature addresses this?","Amazon SageMaker Ground Truth addresses this need by providing data labeling workflows, including access to human labelers, to create high-quality labeled training data."
"31","1 - Fundamentals of AI and ML","Scenario","Exam-Ready","Exam clue: ""The model performs well on training data but fails on new data."" What concept does this describe?","This phrase is a classic exam clue for overfitting. The model has memorized the training data rather than learning generalizable patterns."
"32","1 - Fundamentals of AI and ML","Scenario","Exam-Ready","Exam clue: ""There is no labeled data available."" What type of learning does this point to?","This phrase points to unsupervised learning, since supervised learning requires labeled data and unsupervised learning does not."
"33","1 - Fundamentals of AI and ML","Scenario","Exam-Ready","Exam clue: ""Predict which category an item belongs to."" What ML technique does this describe?","This describes classification, which assigns inputs to discrete predefined categories rather than predicting a number or grouping unlabeled data."
"34","1 - Fundamentals of AI and ML","Scenario","Exam-Ready","Exam clue: ""Predict a specific numeric value, such as a price or temperature."" What ML technique does this describe?","This describes regression, which is used to predict continuous numerical outcomes rather than categories or groupings."
"35","1 - Fundamentals of AI and ML","Scenario","Exam-Ready","Exam clue: ""Use historical purchase data to recommend products to a specific customer."" Which AWS service does this point to?","This points to Amazon Personalize, AWS's managed service for building real-time personalized recommendation systems from user behavior data."
"36","2 - Fundamentals of GenAI","GenAI Term","Beginner","What is a token in the context of generative AI?","A token is a chunk of text, such as a word or part of a word, that a language model processes as a basic unit. Token count directly affects cost and the amount of context a model can use."
"37","2 - Fundamentals of GenAI","GenAI Term","Beginner","What is a context window?","A context window is the maximum amount of text, measured in tokens, that a model can consider at one time when generating a response. Information outside the context window is not seen by the model."
"38","2 - Fundamentals of GenAI","GenAI Term","Beginner","What is a hallucination in generative AI?","A hallucination is a confidently stated output that is factually incorrect or not grounded in real data. Hallucinations are a key limitation of foundation models and a major risk for business use."
"39","2 - Fundamentals of GenAI","GenAI Term","Intermediate","What is temperature in the context of an FM's inference parameters?","Temperature is an inference parameter that controls the randomness and creativity of a model's output. Lower temperature produces more focused, predictable responses, while higher temperature produces more varied, creative responses."
"40","2 - Fundamentals of GenAI","GenAI Term","Beginner","What is a foundation model (FM)?","A foundation model is a large, pre-trained AI model that can be adapted for many different tasks without training from scratch. Foundation models are the basis for most modern generative AI applications."
"41","2 - Fundamentals of GenAI","GenAI Term","Beginner","What is a large language model (LLM)?","A large language model is a type of foundation model trained on massive amounts of text to understand and generate human language. LLMs power chatbots, writing assistants, and many text-based GenAI applications."
"42","2 - Fundamentals of GenAI","GenAI Term","Intermediate","What is an embedding?","An embedding is a numerical vector representation of text, images, or other data that captures its meaning in a way a model can compare mathematically. Embeddings are essential for semantic search and RAG systems."
"43","2 - Fundamentals of GenAI","GenAI Term","Intermediate","What is pre-training?","Pre-training is the initial stage of training a foundation model on a massive, general dataset to learn broad language or pattern understanding. It is the most resource-intensive stage of the FM lifecycle."
"44","2 - Fundamentals of GenAI","GenAI Term","Intermediate","What is fine-tuning?","Fine-tuning is the process of further training an already pre-trained foundation model on a smaller, task-specific or domain-specific dataset. It adapts a general model to perform better on a narrower set of tasks."
"45","2 - Fundamentals of GenAI","GenAI Term","Intermediate","What is Reinforcement Learning from Human Feedback (RLHF)?","RLHF is a training technique that incorporates human judgments about output quality into the model's learning process. It helps align model behavior with human preferences and values."
"46","2 - Fundamentals of GenAI","AWS Service","Beginner","What is Amazon Bedrock?","Amazon Bedrock is AWS's managed platform for accessing, customizing, and deploying foundation models from multiple providers through a single API. It removes the need to manage the underlying infrastructure."
"47","2 - Fundamentals of GenAI","AWS Service","Intermediate","What is Amazon Titan?","Amazon Titan is a family of foundation models built by AWS and made available through Amazon Bedrock. Titan models support tasks such as text generation, summarization, and embeddings."
"48","2 - Fundamentals of GenAI","AWS Service","Intermediate","What is Amazon Q Business?","Amazon Q Business is an AI-powered assistant designed to help employees find information, answer questions, and complete tasks using an organization's own enterprise data. It is aimed at general business users, not just developers."
"49","2 - Fundamentals of GenAI","AWS Service","Intermediate","What is Amazon Q Developer?","Amazon Q Developer is an AI coding assistant that helps developers write, troubleshoot, and understand code, and answers questions about AWS services. It is aimed specifically at developers and IT professionals."
"50","2 - Fundamentals of GenAI","AWS Service","Intermediate","What is Amazon Q in Connect?","Amazon Q in Connect is a generative AI capability for Amazon Connect that gives contact center agents real-time recommended responses and relevant knowledge during customer interactions. It helps improve customer service speed and quality."
"51","2 - Fundamentals of GenAI","AWS Service","Beginner","What is Amazon Lex?","Amazon Lex is a service for building conversational interfaces, such as chatbots and voice bots, powered by the same technology behind Amazon Alexa. It is used to create custom branded conversational experiences."
"52","2 - Fundamentals of GenAI","AWS Service","Intermediate","What is Amazon Kendra?","Amazon Kendra is an intelligent enterprise search service that lets employees search across multiple data sources using natural language. It returns precise, relevant answers rather than just a list of documents."
"53","2 - Fundamentals of GenAI","AWS Service","Intermediate","What is PartyRock?","PartyRock is an Amazon Bedrock playground that lets users build and share simple generative AI apps without writing code. It is intended for learning and rapid experimentation with foundation models."
"54","2 - Fundamentals of GenAI","Comparison","Intermediate","Foundation model (FM) vs. large language model (LLM): how are they different?","A foundation model is the broader category of large, pre-trained models that can be adapted to many tasks, including text, image, and multi-modal models. An LLM is a specific type of foundation model focused on understanding and generating language."
"55","2 - Fundamentals of GenAI","Comparison","Exam-Ready","Amazon Bedrock vs. Amazon SageMaker AI: how do they differ?","Amazon Bedrock is for accessing and customizing existing foundation models through a managed API without building models from scratch. Amazon SageMaker AI is for building, training, and deploying fully custom machine learning models."
"56","2 - Fundamentals of GenAI","Comparison","Intermediate","Amazon Q Business vs. Amazon Q Developer: who is each one for?","Amazon Q Business serves general business users who need help finding information and completing tasks using enterprise data. Amazon Q Developer serves developers who need coding assistance and AWS technical guidance."
"57","2 - Fundamentals of GenAI","Comparison","Intermediate","High temperature vs. low temperature: how do they affect FM output?","A low temperature produces more focused, deterministic, and predictable output, useful for factual tasks. A high temperature produces more varied and creative output, useful for brainstorming or creative writing."
"58","2 - Fundamentals of GenAI","Comparison","Exam-Ready","Pre-training vs. fine-tuning: how do they differ in purpose and scale?","Pre-training teaches a model broad, general knowledge using a massive dataset and is extremely resource-intensive. Fine-tuning adapts an already pre-trained model to a narrower task or domain using a much smaller dataset."
"59","2 - Fundamentals of GenAI","Comparison","Exam-Ready","Amazon Lex vs. Amazon Q Business vs. Amazon Kendra: what does each one do?","Amazon Lex builds custom conversational chatbot and voice interfaces. Amazon Q Business is an AI assistant that answers questions using enterprise data. Amazon Kendra is an intelligent search engine for finding answers across enterprise content."
"60","2 - Fundamentals of GenAI","Comparison","Intermediate","Multi-modal models vs. text-only models: what is the key difference?","A multi-modal model can process and generate more than one type of content, such as text, images, and audio, together. A text-only model is limited to processing and generating written language."
"61","2 - Fundamentals of GenAI","Scenario","Exam-Ready","A company wants to use a pre-built foundation model through an API without managing servers or training infrastructure. Which AWS approach fits?","Amazon Bedrock fits this scenario because it provides managed access to multiple foundation models through a single API, with no infrastructure to manage."
"62","2 - Fundamentals of GenAI","Scenario","Intermediate","A development team wants AI assistance writing and debugging code directly inside their IDE. Which service helps?","Amazon Q Developer helps in this scenario, since it is purpose-built to assist developers with coding, debugging, and answering AWS technical questions."
"63","2 - Fundamentals of GenAI","Scenario","Exam-Ready","A chatbot confidently tells a customer about a return policy that does not exist at the company. What GenAI limitation does this illustrate?","This illustrates a hallucination, where the model generates plausible-sounding but factually incorrect content. Grounding techniques like RAG can help reduce this risk."
"64","2 - Fundamentals of GenAI","Scenario","Exam-Ready","An organization wants employees across departments to ask natural-language questions and get answers pulled from internal company documents. Which Amazon Q variant fits?","Amazon Q Business fits this scenario, since it is designed to help general business users get answers using an organization's own enterprise data."
"65","2 - Fundamentals of GenAI","Scenario","Intermediate","A marketing team wants highly creative ad copy ideas, while a legal team wants precise, consistent contract summaries. How should temperature be set for each?","The marketing team should use a higher temperature to encourage creative and varied output. The legal team should use a lower temperature to produce more consistent and predictable output."
"66","2 - Fundamentals of GenAI","Scenario","Exam-Ready","Exam clue: ""Access pre-built foundation models through a single managed API."" Which AWS service does this describe?","This describes Amazon Bedrock, the AWS service built specifically for accessing and customizing foundation models without managing infrastructure."
"67","2 - Fundamentals of GenAI","Scenario","Exam-Ready","Exam clue: ""An AI assistant that helps write and troubleshoot code."" Which service does this describe?","This describes Amazon Q Developer, which is AWS's AI coding assistant for developers."
"68","2 - Fundamentals of GenAI","Scenario","Exam-Ready","Exam clue: ""An employee-facing AI assistant that answers questions using company data."" Which service does this describe?","This describes Amazon Q Business, which helps employees find information and complete tasks using enterprise data sources."
"69","2 - Fundamentals of GenAI","Scenario","Exam-Ready","Exam clue: ""Build a custom chatbot dialog flow for a branded application."" Which service does this describe?","This describes Amazon Lex, the service used to design custom conversational interfaces such as chatbots and voice bots."
"70","2 - Fundamentals of GenAI","Scenario","Exam-Ready","Exam clue: ""The model confidently states incorrect facts."" What concept does this describe?","This describes a hallucination, a key limitation of generative AI where outputs sound plausible but are not factually accurate."
"71","3 - Applications of Foundation Models","GenAI Term","Beginner","What is zero-shot prompting?","Zero-shot prompting asks a model to complete a task with no examples provided, relying entirely on the model's pre-existing knowledge. It works best for simple or well-known tasks."
"72","3 - Applications of Foundation Models","GenAI Term","Beginner","What is one-shot (single-shot) prompting?","One-shot prompting provides exactly one example of the desired input-output pattern before asking the model to complete a similar task. It helps clarify format or style expectations."
"73","3 - Applications of Foundation Models","GenAI Term","Intermediate","What is few-shot prompting?","Few-shot prompting provides multiple examples of the desired input-output pattern within the prompt before asking the model to complete a similar task. It typically improves accuracy on more complex or unfamiliar tasks compared to zero-shot."
"74","3 - Applications of Foundation Models","GenAI Term","Intermediate","What is chain-of-thought prompting?","Chain-of-thought prompting guides a model to reason through a problem step by step rather than jumping straight to an answer. It often improves performance on tasks requiring logic or multi-step reasoning."
"75","3 - Applications of Foundation Models","GenAI Term","Intermediate","What is role prompting?","Role prompting instructs a model to respond as if it were a specific persona or expert, such as a financial analyst or customer support agent. This helps shape the tone, focus, and depth of the response."
"76","3 - Applications of Foundation Models","GenAI Term","Intermediate","What is a system prompt?","A system prompt is a set of instructions provided to a model that establishes its overall behavior, tone, and constraints before any user input is processed. It typically persists across an entire conversation."
"77","3 - Applications of Foundation Models","GenAI Term","Intermediate","What is negative prompting?","Negative prompting explicitly tells a model what to avoid in its response, such as a topic, tone, or format. It helps constrain outputs that might otherwise be off-target or inappropriate."
"78","3 - Applications of Foundation Models","Security and Governance","Exam-Ready","What is prompt injection?","Prompt injection is an attack where malicious instructions are embedded in input data to manipulate a model into ignoring its original instructions or producing unintended behavior. It is a key AI-specific security risk also covered under Domain 5."
"79","3 - Applications of Foundation Models","AWS Service","Intermediate","What are Amazon Bedrock Knowledge Bases?","Amazon Bedrock Knowledge Bases is a managed RAG capability that connects a foundation model to an organization's own data sources, such as documents in Amazon S3. It retrieves relevant content and grounds model responses in that data."
"80","3 - Applications of Foundation Models","AWS Service","Intermediate","What are Amazon Bedrock Agents?","Amazon Bedrock Agents are a capability that lets a foundation model autonomously plan and execute multi-step tasks by calling APIs and tools. They extend an FM beyond simple text generation into action-taking workflows."
"81","3 - Applications of Foundation Models","AWS Service","Intermediate","What is Amazon Bedrock Guardrails?","Amazon Bedrock Guardrails is a capability for setting safety limits on what a foundation model can say or do, including content filters and topic restrictions. It helps enforce responsible AI behavior in production applications."
"82","3 - Applications of Foundation Models","AWS Service","Intermediate","What is Amazon Bedrock Model Evaluation?","Amazon Bedrock Model Evaluation is a managed service for assessing and comparing foundation model performance using automated metrics or human evaluators. It helps teams choose the best-performing model for their use case."
"83","3 - Applications of Foundation Models","GenAI Term","Intermediate","What is fine-tuning in the context of FM customization?","Fine-tuning adapts a pre-trained foundation model to a specific task or domain by continuing training on a smaller, labeled dataset. It is more expensive than prompt engineering or RAG but can produce more specialized behavior."
"84","3 - Applications of Foundation Models","GenAI Term","Intermediate","What is continued pre-training?","Continued pre-training updates a foundation model with additional unlabeled domain-specific data without full retraining from scratch. It helps the model absorb new knowledge over time while preserving its general capabilities."
"85","3 - Applications of Foundation Models","GenAI Term","Beginner","What is Retrieval Augmented Generation (RAG)?","RAG is a technique that lets a foundation model search and retrieve relevant information from an external knowledge source before generating a response. It grounds the model's output in current, accurate, organization-specific data."
"86","3 - Applications of Foundation Models","GenAI Term","Intermediate","What is a vector database?","A vector database stores data as numerical embeddings and allows fast similarity searches between them. It is a core component of RAG systems, enabling retrieval of the most semantically relevant content."
"87","3 - Applications of Foundation Models","GenAI Term","Intermediate","What are embeddings, in the context of RAG?","Embeddings are numerical vector representations of text or other content that capture semantic meaning. In RAG, embeddings allow a system to find content that is conceptually similar to a user's query, not just textually identical."
"88","3 - Applications of Foundation Models","GenAI Term","Intermediate","What is chunking?","Chunking is the process of breaking large documents into smaller pieces before generating embeddings and storing them in a vector database. Proper chunk size affects how relevant and complete the retrieved content is for RAG."
"89","3 - Applications of Foundation Models","Comparison","Exam-Ready","RAG vs. fine-tuning: when would you choose one over the other?","Choose RAG when you need the model to use current, frequently changing information without retraining, at lower cost. Choose fine-tuning when you need the model to learn a new skill, tone, or specialized behavior that persists in the model itself."
"90","3 - Applications of Foundation Models","Comparison","Exam-Ready","Prompt engineering vs. RAG vs. fine-tuning: how do they rank in cost and complexity?","Prompt engineering is the lowest-cost and simplest approach, adjusting only the instructions given to the model. RAG adds moderate complexity by connecting the model to external data. Fine-tuning is the most costly and complex, since it requires retraining the model on custom data."
"91","3 - Applications of Foundation Models","Comparison","Exam-Ready","Amazon Bedrock Knowledge Bases vs. Amazon Kendra: how do they differ?","Bedrock Knowledge Bases is purpose-built to ground foundation model responses in company data as part of a RAG pipeline. Amazon Kendra is a standalone enterprise search service that returns precise answers to natural-language queries, independent of a specific FM application."
"92","3 - Applications of Foundation Models","Comparison","Intermediate","Automated evaluation vs. human evaluation: what are the tradeoffs?","Automated evaluation, using metrics like ROUGE or BLEU, is fast, scalable, and consistent but may miss nuance. Human evaluation captures nuance and subjective quality but is slower, more expensive, and harder to scale."
"93","3 - Applications of Foundation Models","Comparison","Intermediate","Zero-shot vs. few-shot prompting: what is the main tradeoff?","Zero-shot prompting requires no examples and is faster to write but may produce less accurate results on complex tasks. Few-shot prompting requires more effort to craft examples but typically improves accuracy and consistency."
"94","3 - Applications of Foundation Models","Comparison","Exam-Ready","Bedrock Agents vs. a traditional API integration: what is the key difference?","A traditional API integration requires a developer to hard-code the exact sequence of calls to make. Bedrock Agents let the foundation model dynamically plan which tools or APIs to call and in what order, based on the user's request."
"95","3 - Applications of Foundation Models","Comparison","Exam-Ready","ROUGE vs. BERTScore: what does each metric evaluate?","ROUGE measures overlap of words and phrases between generated text and a reference, commonly used for summarization quality. BERTScore measures semantic similarity using embeddings, capturing meaning even when the exact wording differs."
"96","3 - Applications of Foundation Models","Scenario","Exam-Ready","A company wants its chatbot to answer questions using a constantly updated product catalog without retraining the model each time it changes. What approach fits?","RAG fits this scenario, since it retrieves current information from the product catalog at query time rather than baking it into the model through retraining."
"97","3 - Applications of Foundation Models","Scenario","Exam-Ready","A legal team wants a model to consistently write in a very specific contract format and tone unlike typical training data. What customization approach fits?","Fine-tuning fits this scenario, since the goal is to change the model's underlying behavior and style in a way that persists, rather than supplying outside information at query time."
"98","3 - Applications of Foundation Models","Scenario","Exam-Ready","A company wants to prevent its GenAI application from discussing competitor products or generating offensive content. What Bedrock feature fits?","Amazon Bedrock Guardrails fits this scenario, since it lets organizations define content filters and topic restrictions to control what the model can say."
"99","3 - Applications of Foundation Models","Scenario","Exam-Ready","A team needs a model to answer questions from company documents and autonomously complete a multi-step task like booking a meeting. Which two Bedrock features are needed?","Amazon Bedrock Knowledge Bases provides grounded answers from company documents, while Amazon Bedrock Agents handle the multi-step autonomous task execution. Together they support both information retrieval and action-taking."
"100","3 - Applications of Foundation Models","Scenario","Intermediate","A team wants a fast way to check translation quality across thousands of outputs, but also wants periodic spot checks by human reviewers. What evaluation approach fits?","A combination of automated metrics, such as BLEU, for scalable evaluation and human-in-the-loop evaluation for periodic quality spot checks fits this scenario. This balances speed and depth of insight."
"101","3 - Applications of Foundation Models","Scenario","Exam-Ready","Exam clue: ""Connect a foundation model to company documents without retraining."" What concept and feature does this describe?","This describes RAG, often implemented in AWS through Amazon Bedrock Knowledge Bases, which grounds model responses in existing company data."
"102","3 - Applications of Foundation Models","Scenario","Exam-Ready","Exam clue: ""Automatically take actions across multiple systems to complete a task."" Which Bedrock feature does this describe?","This describes Amazon Bedrock Agents, which let a foundation model plan and execute multi-step actions by calling external tools and APIs."
"103","3 - Applications of Foundation Models","Scenario","Exam-Ready","Exam clue: ""Prevent harmful or off-topic content in model responses."" Which Bedrock feature does this describe?","This describes Amazon Bedrock Guardrails, which enforce content filters and topic restrictions on model output."
"104","3 - Applications of Foundation Models","Scenario","Exam-Ready","Exam clue: ""The model breaks a problem into multiple reasoning steps before answering."" What prompting technique does this describe?","This describes chain-of-thought prompting, which guides the model to reason step by step rather than answering immediately."
"105","3 - Applications of Foundation Models","Scenario","Exam-Ready","Exam clue: ""Evaluate foundation model performance at scale using AWS tooling."" Which service does this describe?","This describes Amazon Bedrock Model Evaluation, AWS's managed service for assessing and comparing foundation model performance."
"106","4 - Guidelines for Responsible AI","Responsible AI","Beginner","What is AI bias?","AI bias is a systematic error in a model's outputs that produces unfair or skewed results, often disadvantaging a particular group. It can come from biased training data, biased labeling, or flawed model design."
"107","4 - Guidelines for Responsible AI","Responsible AI","Beginner","What is fairness in responsible AI?","Fairness means an AI system treats all individuals and groups equitably, without systematically disadvantaging anyone based on protected characteristics. It is one of the core principles of responsible AI."
"108","4 - Guidelines for Responsible AI","Responsible AI","Intermediate","What is explainability (XAI)?","Explainability is the ability to describe, in understandable terms, why an AI model produced a specific output or decision. It is critical for trust, accountability, and regulatory compliance."
"109","4 - Guidelines for Responsible AI","Responsible AI","Intermediate","What is interpretability?","Interpretability is the degree to which a human can understand the internal mechanics of how a model arrives at its outputs. Simpler models tend to be more interpretable than complex deep learning models."
"110","4 - Guidelines for Responsible AI","Responsible AI","Intermediate","What is transparency in the context of responsible AI?","Transparency means being open about how an AI system works, what data it was trained on, and its known limitations. It supports informed decision-making by users and stakeholders affected by the system."
"111","4 - Guidelines for Responsible AI","Responsible AI","Intermediate","How does hallucination relate to responsible AI?","From a responsible AI lens, hallucinations are a veracity risk, since they produce confidently stated but false information. Left unaddressed, they can mislead users and create legal or reputational harm."
"112","4 - Guidelines for Responsible AI","Responsible AI","Intermediate","What is toxicity in the context of AI outputs?","Toxicity refers to harmful, offensive, or inappropriate content generated by an AI model. Detecting and filtering toxicity is an important safety control in responsible AI systems."
"113","4 - Guidelines for Responsible AI","Responsible AI","Intermediate","What is human-in-the-loop evaluation?","Human-in-the-loop evaluation involves people actively reviewing, rating, or correcting AI outputs as part of the system's workflow, often for low-confidence predictions. It adds a layer of judgment that automated systems cannot fully replicate."
"114","4 - Guidelines for Responsible AI","Responsible AI","Intermediate","What is a model card?","A model card is structured documentation that describes a model's intended use, performance characteristics, limitations, and training data. It helps stakeholders understand a model's behavior and appropriate use cases."
"115","4 - Guidelines for Responsible AI","Responsible AI","Beginner","What are the core features of responsible AI?","The core features of responsible AI are bias, fairness, inclusivity, robustness, safety, and veracity. Together they describe the qualities an AI system should have to be trustworthy and beneficial."
"116","4 - Guidelines for Responsible AI","AWS Service","Intermediate","How does Amazon SageMaker Clarify support responsible AI?","SageMaker Clarify detects potential bias in datasets and model predictions and provides feature importance explanations. It helps teams identify and address fairness and explainability issues before and after deployment."
"117","4 - Guidelines for Responsible AI","AWS Service","Intermediate","How does Amazon Augmented AI (A2I) support responsible AI?","Amazon A2I adds human review workflows into ML prediction pipelines, routing low-confidence predictions to human reviewers. This human oversight helps catch errors and supports safer, more trustworthy outcomes."
"118","4 - Guidelines for Responsible AI","AWS Service","Intermediate","How does Amazon SageMaker Ground Truth support responsible AI?","SageMaker Ground Truth supports responsible AI by helping create accurately labeled, high-quality training datasets. Strong label quality reduces the risk of bias and errors propagating into the trained model."
"119","4 - Guidelines for Responsible AI","AWS Service","Intermediate","How does Amazon Bedrock Guardrails support responsible AI?","From a responsible AI perspective, Bedrock Guardrails enforces content filters, topic restrictions, and grounding checks to keep model outputs safe and aligned with organizational policy. It is a direct technical control for the safety feature of responsible AI."
"120","4 - Guidelines for Responsible AI","AWS Service","Intermediate","How does Amazon Macie support responsible and safe AI use?","Amazon Macie automatically discovers and classifies sensitive data, such as PII, stored in Amazon S3. In a responsible AI context, it helps ensure sensitive data is not improperly used in training datasets or exposed through AI applications."
"121","4 - Guidelines for Responsible AI","Responsible AI","Intermediate","What is SHAP, conceptually, in explainable AI?","SHAP, or SHapley Additive exPlanations, is an explainability technique that estimates how much each input feature contributed to a specific model prediction. It is a conceptual tool for understanding model decisions, not an AWS-specific service."
"122","4 - Guidelines for Responsible AI","Responsible AI","Intermediate","What is LIME, conceptually, in explainable AI?","LIME, or Local Interpretable Model-agnostic Explanations, is an explainability technique that approximates a complex model's behavior near a specific prediction using a simpler, interpretable model. It helps explain individual predictions rather than the whole model."
